Participant_Number,Trial_Number,Condition,FC,Target_Contrast,Correct_Response,Reaction_Time
1,0,Seperate,0.1,0.1,1,0.5723398719999295
1,1,Seperate,0.1,0.07943282347242815,1,0.5269633820000763
1,2,Seperate,0.1,0.06309573444801932,1,0.20255085899998448
1,3,Seperate,0.1,0.05011872336272722,1,0.46422351599994727
1,4,Seperate,0.1,0.03981071705534971,1,0.3938784110000597
1,5,Seperate,0.1,0.031622776601683784,1,0.3736620220001896
1,6,Seperate,0.1,0.02511886431509579,1,0.35343614600014917
1,7,Seperate,0.1,0.01995262314968879,0,0.8347186820001298
1,8,Seperate,0.1,0.025118864315095794,1,0.5581880330000786
1,9,Seperate,0.1,0.01995262314968879,1,0.6220505999999659
1,10,Seperate,0.1,0.015848931924611127,1,0.3860415809999722
1,11,Seperate,0.1,0.012589254117941666,1,0.5392301869999301
1,12,Seperate,0.1,0.009999999999999995,0,0.6785499279999385
1,13,Seperate,0.1,0.012589254117941666,1,0.7141839040000377
1,14,Seperate,0.1,0.009999999999999995,0,0.4776242830000683
1,15,Seperate,0.1,0.012589254117941666,0,0.5464933040000233
1,16,Seperate,0.1,0.015848931924611127,1,0.7506879229999868
1,17,Seperate,0.1,0.012589254117941666,0,0.7297338460000447
1,18,Seperate,0.1,0.015848931924611127,0,0.38987896799994815
1,19,Seperate,0.1,0.01995262314968879,1,0.6429357360000267
1,20,Seperate,0.1,0.015848931924611127,0,0.49073160199986887
1,21,Seperate,0.1,0.01995262314968879,0,0.37410207200014156
1,22,Seperate,0.1,0.025118864315095794,1,0.464103170000044
1,23,Seperate,0.1,0.01995262314968879,1,0.5314977820000877
1,24,Seperate,0.1,0.015848931924611127,1,0.47807902199997443
1,25,Seperate,0.1,0.012589254117941666,1,0.4175549700000829
1,26,Seperate,0.1,0.009999999999999995,1,0.35123040400003447
1,27,Seperate,0.1,0.00794328234724281,1,0.2834537820001515
1,28,Seperate,0.1,0.0063095734448019285,0,0.4302731350001068
1,29,Seperate,0.1,0.00794328234724281,1,0.4665118790001088
1,30,Seperate,0.1,0.0063095734448019285,1,0.3982354480001504
1,31,Seperate,0.1,0.005011872336272719,0,0.43924304400002256
1,32,Seperate,0.1,0.0063095734448019285,1,0.49874525800009906
1,33,Seperate,0.1,0.005011872336272719,0,0.39542693299995335
1,34,Seperate,0.1,0.0063095734448019285,0,0.4538107050000235
1,35,Seperate,0.1,0.00794328234724281,0,0.37616981299993313
1,36,Seperate,0.1,0.009999999999999995,0,0.39587950300006014
1,37,Seperate,0.1,0.012589254117941666,1,0.42369981799993184
1,38,Seperate,0.1,0.009999999999999995,1,0.65096618199982
1,39,Seperate,0.1,0.00794328234724281,0,0.6954799580000781
1,40,Seperate,0.1,0.009999999999999995,0,0.5693708370001787
1,41,Seperate,0.1,0.012589254117941666,0,0.5867096350000338
