Participant_Number,Trial_Number,Condition,FC,Target_Contrast,Correct_Response,Reaction_Time
3,0,Seperate,0.1,0.1,1,0.37999582500015094
3,1,Seperate,0.1,0.07943282347242815,1,0.28781070799959707
3,2,Seperate,0.1,0.06309573444801932,1,0.43441736699969624
3,3,Seperate,0.1,0.05011872336272722,1,0.24818248900010076
3,4,Seperate,0.1,0.03981071705534971,1,0.38351342100031616
3,5,Seperate,0.1,0.031622776601683784,1,0.23489224999957514
3,6,Seperate,0.1,0.02511886431509579,1,0.2354552769993461
3,7,Seperate,0.1,0.01995262314968879,1,0.27870869700018375
3,8,Seperate,0.1,0.015848931924611127,1,0.4000177160005478
3,9,Seperate,0.1,0.012589254117941666,1,0.34768113100017217
3,10,Seperate,0.1,0.009999999999999995,0,0.4309713829998145
3,11,Seperate,0.1,0.012589254117941666,1,0.3867917629995645
3,12,Seperate,0.1,0.009999999999999995,1,0.40585545299927617
3,13,Seperate,0.1,0.00794328234724281,1,0.252097087999573
3,14,Seperate,0.1,0.0063095734448019285,0,0.472576379000202
3,15,Seperate,0.1,0.00794328234724281,0,0.6169805269992139
3,16,Seperate,0.1,0.009999999999999995,1,0.47621563999928185
3,17,Seperate,0.1,0.00794328234724281,0,0.42009327100004157
3,18,Seperate,0.1,0.009999999999999995,1,0.4716390029998365
3,19,Seperate,0.1,0.00794328234724281,0,0.46408883899948705
3,20,Seperate,0.1,0.009999999999999995,0,0.3299285630000668
3,21,Seperate,0.1,0.012589254117941666,1,0.3013580360002379
3,22,Seperate,0.1,0.009999999999999995,0,0.27257633799945324
3,23,Seperate,0.1,0.012589254117941666,0,0.2863672690000385
3,24,Seperate,0.1,0.015848931924611127,0,0.5608604579992971
3,25,Seperate,0.1,0.01995262314968879,1,0.29153087200029404
3,26,Seperate,0.1,0.015848931924611127,0,0.3674365830001989
3,27,Seperate,0.1,0.01995262314968879,1,0.3526450819999809
3,28,Seperate,0.1,0.015848931924611127,1,0.40325907900023594
3,29,Seperate,0.1,0.012589254117941666,0,0.5028482830002758
3,30,Seperate,0.1,0.015848931924611127,1,0.3589982339999551
3,31,Seperate,0.1,0.012589254117941666,1,0.5307348569995156
3,32,Seperate,0.1,0.009999999999999995,0,0.36495366800045304
3,33,Seperate,0.1,0.012589254117941666,1,0.3840153740002279
3,34,Seperate,0.1,0.009999999999999995,0,0.3481282180000562
3,35,Seperate,0.1,0.012589254117941666,1,0.4391326149998349
3,36,Seperate,0.1,0.009999999999999995,1,0.42055883900047775
3,37,Seperate_null,0.1,0.1,0,0.40942674500001885
3,38,Seperate_null,0.1,0.1,1,0.45880232400031673
3,39,Seperate,0.1,0.00794328234724281,0,0.43743957100014086
3,40,Seperate_null,0.1,0.07943282347242815,0,0.32745858799989946
3,41,Seperate,0.1,0.009999999999999995,1,0.330518261999714
3,42,Seperate_null,0.1,0.1,1,0.29341492500043387
3,43,Seperate,0.1,0.00794328234724281,1,0.32005509400005394
3,44,Seperate,0.1,0.0063095734448019285,0,0.2113921889995254
3,45,Seperate,0.1,0.00794328234724281,0,0.3753587199998947
3,46,Seperate,0.1,0.009999999999999995,0,0.4196004470004482
3,47,Seperate,0.1,0.012589254117941666,1,0.40063959899998736
3,48,Seperate,0.1,0.009999999999999995,1,0.37837594499978877
3,49,Seperate,0.1,0.00794328234724281,1,0.4452355110006465
3,50,Seperate_null,0.1,0.07943282347242815,1,0.6221938979997503
3,51,Seperate,0.1,0.0063095734448019285,0,0.41705489000014495
3,52,Seperate,0.1,0.00794328234724281,0,0.32978614900002867
3,53,Seperate_null,0.1,0.06309573444801932,1,0.22941153200008557
3,54,Seperate,0.1,0.009999999999999995,1,0.3840437680000832
3,55,Seperate,0.1,0.00794328234724281,0,0.2267919379992236
3,56,Seperate,0.1,0.009999999999999995,0,0.43043115899945406
3,57,Seperate,0.1,0.012589254117941666,0,0.3692726090002907
3,58,Seperate,0.1,0.015848931924611127,1,0.3810989929997959
3,59,Seperate,0.1,0.012589254117941666,1,0.5935801850000644
3,60,Seperate,0.1,0.009999999999999995,0,0.3055656420001469
3,61,Seperate,0.1,0.012589254117941666,0,0.40270864000012807
3,62,Seperate,0.1,0.015848931924611127,1,0.4053519380004218
3,63,Seperate,0.1,0.012589254117941666,1,0.4462377429999833
3,64,Seperate,0.1,0.009999999999999995,0,0.3287808850000147
3,65,Seperate,0.1,0.012589254117941666,1,0.33983501799957594
3,66,Seperate,0.1,0.009999999999999995,1,0.47982536499966955
3,67,Seperate,0.1,0.00794328234724281,1,0.3867746570003874
3,68,Seperate,0.1,0.0063095734448019285,0,0.3668116019998706
3,69,Seperate,0.1,0.00794328234724281,0,0.3697597410000526
3,70,Seperate,0.1,0.009999999999999995,0,0.3820657209998899
3,71,Seperate,0.1,0.012589254117941666,0,0.20382488199993531
3,72,Seperate,0.1,0.015848931924611127,1,0.21197074900010193
3,73,Seperate,0.1,0.012589254117941666,0,0.32665043999986665
3,74,Seperate,0.1,0.015848931924611127,1,0.2561966820003363
3,75,Seperate_null,0.1,0.05011872336272722,1,0.47558559700064507
3,76,Seperate_null,0.1,0.03981071705534971,0,0.46807143800015183
3,77,Seperate_null,0.1,0.05011872336272721,1,0.4871710549996351
3,78,Seperate,0.1,0.012589254117941666,1,0.426080555000226
3,79,Seperate,0.1,0.009999999999999995,1,0.41294513899993035
3,80,Seperate,0.1,0.00794328234724281,0,0.25486726599956455
3,81,Seperate,0.1,0.009999999999999995,1,0.484169880999616
3,82,Seperate_null,0.1,0.03981071705534971,1,0.5642956970004889
3,83,Seperate,0.1,0.00794328234724281,0,0.25606452299962257
3,84,Seperate,0.1,0.009999999999999995,0,0.31226706899997225
3,85,Seperate,0.1,0.012589254117941666,0,0.24406346100022347
3,86,Seperate,0.1,0.015848931924611127,1,0.34781374799968034
3,87,Seperate,0.1,0.012589254117941666,0,0.8555901870004163
3,88,Seperate,0.1,0.015848931924611127,1,0.3388819069996316
3,89,Seperate,0.1,0.012589254117941666,1,0.2866426410000713
3,90,Seperate,0.1,0.009999999999999995,0,0.24954390099992452
3,91,Seperate,0.1,0.012589254117941666,0,0.39764653600013844
3,92,Seperate,0.1,0.015848931924611127,1,0.3363463999994565
3,93,Seperate_null,0.1,0.031622776601683784,1,0.7016548920000787
3,94,Seperate,0.1,0.012589254117941666,1,0.5300049320003382
3,95,Seperate_null,0.1,0.02511886431509579,1,0.28984720100015693
3,96,Seperate,0.1,0.009999999999999995,0,0.47752181199939514
3,97,Seperate,0.1,0.012589254117941666,0,0.34220532499966794
3,98,Seperate,0.1,0.015848931924611127,0,0.3690109890003441
3,99,Seperate,0.1,0.01995262314968879,1,0.4421811209995212
3,100,Seperate,0.1,0.015848931924611127,1,0.2721661239993409
3,101,Seperate,0.1,0.012589254117941666,0,0.32298315199932404
3,102,Seperate,0.1,0.015848931924611127,1,0.398724666999442
3,103,Seperate,0.1,0.012589254117941666,1,0.38508073199955106
3,104,Seperate,0.1,0.009999999999999995,0,0.42157084199970996
3,105,Seperate_null,0.1,0.01995262314968879,1,0.7941571439996551
3,106,Seperate,0.1,0.012589254117941666,0,0.722896555999796
3,107,Seperate,0.1,0.015848931924611127,0,0.3987601150001865
3,108,Seperate,0.1,0.01995262314968879,1,0.43081098499988
3,109,Seperate,0.1,0.015848931924611127,1,0.3229061249994629
3,110,Seperate,0.1,0.012589254117941666,0,0.5479621290005525
3,111,Seperate,0.1,0.015848931924611127,1,0.3662912090003374
3,112,Seperate,0.1,0.012589254117941666,1,0.3465791939997871
3,113,Seperate,0.1,0.009999999999999995,1,0.4860411749996274
3,114,Seperate,0.1,0.00794328234724281,1,0.409307044000343
3,115,Seperate,0.1,0.0063095734448019285,0,0.21326849700017192
3,116,Seperate,0.1,0.00794328234724281,0,0.344638317999852
3,117,Seperate_null,0.1,0.015848931924611127,1,0.09265566099929856
3,118,Seperate,0.1,0.009999999999999995,0,0.1381547020000653
3,119,Seperate,0.1,0.012589254117941666,1,0.3620276849997026
3,120,Seperate,0.1,0.009999999999999995,0,0.009400036999977601
3,121,Seperate,0.1,0.012589254117941666,0,0.35787183699994785
3,122,Seperate,0.1,0.015848931924611127,1,0.45869065200076875
3,123,Seperate,0.1,0.012589254117941666,1,0.43961009200029366
3,124,Seperate,0.1,0.009999999999999995,1,0.4523351259995252
3,125,Seperate,0.1,0.00794328234724281,1,0.38815281099959975
3,126,Seperate,0.1,0.0063095734448019285,0,0.2792095880004126
3,127,Seperate,0.1,0.00794328234724281,1,0.7197263489997567
3,128,Seperate,0.1,0.0063095734448019285,0,0.6348984870001004
3,129,Seperate,0.1,0.00794328234724281,1,0.7087418490000346
3,130,Seperate,0.1,0.0063095734448019285,0,0.48763359599979594
3,131,Seperate,0.1,0.00794328234724281,1,0.3950239819996568
3,132,Seperate,0.1,0.0063095734448019285,0,0.2699617329999455
3,133,Seperate,0.1,0.00794328234724281,1,0.3709277439993457
3,134,Seperate,0.1,0.0063095734448019285,0,0.33421844899930875
3,135,Seperate,0.1,0.00794328234724281,0,0.48849666000023717
3,136,Seperate,0.1,0.009999999999999995,0,0.3266364490000342
3,137,Seperate,0.1,0.012589254117941666,0,0.3531127859996559
3,138,Seperate,0.1,0.015848931924611127,1,0.3217532050002774
3,139,Seperate,0.1,0.012589254117941666,0,0.7653323710001132
3,140,Seperate,0.1,0.015848931924611127,1,0.32650640700012445
