Participant_Number,Trial_Number,Condition,FC,Target_Contrast,Correct_Response,Reaction_Time
3,40,Together,0.1,0.00794328234724281,0,0.42136566099998163
3,41,Together,0.1,0.009999999999999995,0,0.8213757499997882
3,42,Together,0.1,0.012589254117941666,0,0.4379332250000516
3,43,Together,0.1,0.015848931924611127,1,0.34699760700004845
3,44,Together,0.1,0.012589254117941666,0,0.47460117700029514
3,45,Together,0.1,0.015848931924611127,0,0.46718620200044825
3,46,Together,0.1,0.01995262314968879,1,0.5039931519995662
3,47,Together,0.1,0.015848931924611127,0,0.5921740559997488
3,48,Together,0.1,0.01995262314968879,1,0.5177578370003175
3,49,Together,0.1,0.015848931924611127,1,0.5105267509998157
3,50,Together,0.1,0.012589254117941666,0,0.6301792249996652
3,51,Together,0.1,0.015848931924611127,1,0.3664731559993015
3,52,Together,0.1,0.012589254117941666,0,0.6539657789999183
3,53,Together,0.1,0.015848931924611127,0,0.5679707220006094
3,54,Together,0.1,0.01995262314968879,0,0.5371837409993532
3,55,Together,0.1,0.025118864315095794,1,0.5759049010002855
3,56,Together,0.1,0.01995262314968879,1,0.6783639739996943
3,57,Together,0.1,0.015848931924611127,1,0.5842437100000097
3,58,Together,0.1,0.012589254117941666,0,0.6209414310005741
3,59,Together,0.1,0.015848931924611127,1,0.4449187960008203
3,60,Together,0.1,0.012589254117941666,0,0.32935891699980857
3,61,Together,0.1,0.015848931924611127,1,0.38565750699945056
3,62,Together,0.1,0.012589254117941666,0,0.35334856499957823
3,63,Together,0.1,0.015848931924611127,1,0.4180228019995411
3,64,Together,0.1,0.012589254117941666,1,0.4416306840003017
3,65,Together,0.1,0.009999999999999995,0,0.4679330500002834
3,66,Together,0.1,0.012589254117941666,1,0.5385920299995632
3,67,Together,0.1,0.009999999999999995,0,0.45333296100034204
3,68,Together,0.1,0.012589254117941666,0,0.4989250010003161
3,69,Together,0.1,0.015848931924611127,1,0.4611665570000696
3,70,Together,0.1,0.012589254117941666,1,0.5214188350000768
3,71,Together,0.1,0.009999999999999995,1,0.5291421239999181
3,72,Together,0.1,0.00794328234724281,0,0.5851711189998241
3,73,Together,0.1,0.009999999999999995,1,0.6459109269999317
3,74,Together,0.1,0.00794328234724281,0,0.5177834579999399
3,75,Together,0.1,0.009999999999999995,0,0.49318095999933576
3,76,Together,0.1,0.012589254117941666,1,0.35720908399980544
3,77,Together,0.1,0.009999999999999995,0,0.42131213799984835
3,78,Together,0.1,0.012589254117941666,0,0.45312847800050804
3,79,Together,0.1,0.015848931924611127,1,0.42877734700050496
3,80,Together,0.1,0.012589254117941666,0,0.4620682000004308
3,81,Together,0.1,0.015848931924611127,1,0.4704782580001847
3,82,Together,0.1,0.012589254117941666,0,0.4838340080004855
3,83,Together,0.1,0.015848931924611127,1,0.5319557590000841
3,84,Together,0.1,0.012589254117941666,0,0.4568465920001472
3,85,Together,0.1,0.015848931924611127,1,0.5444030870003189
3,86,Together,0.1,0.012589254117941666,0,0.46517715500067425
3,87,Together,0.1,0.015848931924611127,1,0.47210776999963855
3,88,Together_null,0.1,0.031622776601683784,1,0.4881101660002969
3,89,Together,0.1,0.012589254117941666,0,0.5441114459999881
3,90,Together,0.1,0.015848931924611127,1,0.4872911269994802
3,91,Together,0.1,0.012589254117941666,0,0.5118067860003066
3,92,Together,0.1,0.015848931924611127,1,0.5939140520004003
3,93,Together,0.1,0.012589254117941666,0,0.7135794880005051
3,94,Together,0.1,0.015848931924611127,1,0.41617749800025194
3,95,Together,0.1,0.012589254117941666,1,0.5455489840005612
3,96,Together,0.1,0.009999999999999995,0,0.4975709189993722
3,97,Together_null,0.1,0.02511886431509579,1,0.5268263540001499
3,98,Together_null,0.1,0.01995262314968879,1,0.6783068129998355
3,99,Together,0.1,0.012589254117941666,0,0.5078976700006024
3,100,Together,0.1,0.015848931924611127,0,0.441072413999791
3,101,Together,0.1,0.01995262314968879,0,0.5133584799996243
3,102,Together,0.1,0.025118864315095794,1,0.39317677400049433
3,103,Together,0.1,0.01995262314968879,0,0.3694514730004812
3,104,Together,0.1,0.025118864315095794,0,0.4506493379994936
3,105,Together,0.1,0.031622776601683784,1,0.4270399469996846
3,106,Together,0.1,0.02511886431509579,1,0.44531082899993635
3,107,Together,0.1,0.01995262314968879,1,0.497871509000106
3,108,Together,0.1,0.015848931924611127,1,0.33750111699919216
3,109,Together,0.1,0.012589254117941666,0,0.3756199059998835
3,110,Together,0.1,0.015848931924611127,1,0.7270169249995888
3,111,Together,0.1,0.012589254117941666,0,0.43878026899983524
3,112,Together,0.1,0.015848931924611127,1,0.8204500679994453
3,113,Together_null,0.1,0.015848931924611127,1,0.4442132570002286
3,114,Together,0.1,0.012589254117941666,0,0.7158309759997792
3,115,Together_null,0.1,0.012589254117941666,1,0.5312380479999774
3,116,Together,0.1,0.015848931924611127,1,0.44429925000076764
3,117,Together_null,0.1,0.009999999999999995,1,0.4521531740001592
3,118,Together,0.1,0.012589254117941666,1,0.4840819629998805
3,119,Together,0.1,0.009999999999999995,1,0.5480090390001351
3,120,Together,0.1,0.00794328234724281,0,0.3319726230001834
3,121,Together,0.1,0.009999999999999995,1,0.403879563999908
3,122,Together,0.1,0.00794328234724281,0,0.4649975259999337
3,123,Together,0.1,0.009999999999999995,0,0.4412919280002825
3,124,Together_null,0.1,0.00794328234724281,0,0.49374333400010073
3,125,Together,0.1,0.012589254117941666,0,0.5899877600004402
