Participant_Number,Trial_Number,Condition,FC,Target_Contrast,Correct_Response,Reaction_Time
2,91,Seperate,0.1,0.00794328234724281,1,0.3997798719999537
2,92,Seperate,0.1,0.0063095734448019285,1,0.5637576870000203
2,93,Seperate,0.1,0.005011872336272719,0,0.24690372099996694
2,94,Seperate,0.1,0.0063095734448019285,0,0.4584838639999589
2,95,Seperate,0.1,0.00794328234724281,1,0.5176123340000345
2,96,Seperate,0.1,0.0063095734448019285,0,0.46648486099996944
2,97,Seperate,0.1,0.00794328234724281,0,0.5158871070000259
2,98,Seperate,0.1,0.009999999999999995,1,0.4150993459999768
2,99,Seperate,0.1,0.00794328234724281,1,0.3871698419999916
2,100,Seperate,0.1,0.0063095734448019285,0,0.27642683900000975
2,101,Seperate,0.1,0.00794328234724281,0,0.3598237530000006
2,102,Seperate,0.1,0.009999999999999995,0,0.3143395299999838
2,103,Seperate_null,0.1,0.01995262314968879,1,0.358777353999983
2,104,Seperate,0.1,0.012589254117941666,1,0.24226774400000295
2,105,Seperate_null,0.1,0.015848931924611127,1,0.3818906449999986
2,106,Seperate,0.1,0.009999999999999995,0,0.42512901999998576
2,107,Seperate,0.1,0.012589254117941666,1,0.46955731100001685
2,108,Seperate,0.1,0.009999999999999995,1,0.41456257200002256
2,109,Seperate,0.1,0.00794328234724281,1,0.47295827599998574
2,110,Seperate,0.1,0.0063095734448019285,0,0.43383279599999014
2,111,Seperate,0.1,0.00794328234724281,1,0.3815716279999606
2,112,Seperate_null,0.1,0.012589254117941666,1,0.44665429700000914
2,113,Seperate,0.1,0.0063095734448019285,1,0.5621220769999695
2,114,Seperate,0.1,0.005011872336272719,0,0.38984691699999985
2,115,Seperate,0.1,0.0063095734448019285,0,0.3289471370000001
2,116,Seperate,0.1,0.00794328234724281,1,0.38822709599998007
2,117,Seperate,0.1,0.0063095734448019285,1,0.3599918540000431
2,118,Seperate,0.1,0.005011872336272719,0,0.4127711730000101
2,119,Seperate,0.1,0.0063095734448019285,0,0.3759343460000082
2,120,Seperate,0.1,0.00794328234724281,1,0.29918932600003245
2,121,Seperate,0.1,0.0063095734448019285,0,0.2939666569999986
2,122,Seperate,0.1,0.00794328234724281,0,0.3704157260000329
2,123,Seperate,0.1,0.009999999999999995,1,0.25145975100002715
2,124,Seperate,0.1,0.00794328234724281,1,0.3190077329999781
2,125,Seperate,0.1,0.0063095734448019285,1,0.38610594499999706
2,126,Seperate,0.1,0.005011872336272719,1,0.30148257299998704
2,127,Seperate,0.1,0.00398107170553497,0,0.3619123089999903
2,128,Seperate,0.1,0.00501187233627272,0,0.29377338900002314
2,129,Seperate,0.1,0.006309573444801929,0,0.2897532599999977
2,130,Seperate_null,0.1,0.009999999999999995,0,0.36659248099999786
2,131,Seperate,0.1,0.007943282347242812,0,0.3099926109999842
2,132,Seperate,0.1,0.009999999999999997,0,0.20125739400003795
2,133,Seperate_null,0.1,0.012589254117941666,1,0.30523234700001467
2,134,Seperate,0.1,0.012589254117941668,1,0.5254191509999941
2,135,Seperate,0.1,0.009999999999999997,1,0.5277296929999693
2,136,Seperate,0.1,0.007943282347242812,1,0.4828421770000091
2,137,Seperate_null,0.1,0.009999999999999995,1,0.5657799140000179
2,138,Seperate,0.1,0.006309573444801929,0,0.7687636779999707
2,139,Seperate,0.1,0.007943282347242812,0,0.6040106929999638
2,140,Seperate,0.1,0.009999999999999997,1,0.4113473410000097
