Participant_Number,Trial_Number,Condition,FC,Target_Contrast,Correct_Response,Reaction_Time
1,0,Together,0.1,0.1,1,0.5017926409999518
1,1,Together,0.1,0.07943282347242815,1,0.6620908869999766
1,2,Together,0.1,0.06309573444801932,1,0.4461168059999636
1,3,Together,0.1,0.05011872336272722,1,0.33430051000004823
1,4,Together_null,0.1,0.1,1,0.41563055999995413
1,5,Together,0.1,0.03981071705534971,1,0.5215074159999631
1,6,Together,0.1,0.031622776601683784,1,0.40621443400004864
1,7,Together,0.1,0.02511886431509579,1,0.6459961709999789
1,8,Together_null,0.1,0.07943282347242815,1,0.45935346900000695
1,9,Together,0.1,0.01995262314968879,1,0.5630327379999471
1,10,Together,0.1,0.015848931924611127,0,0.7559551360000114
1,11,Together,0.1,0.01995262314968879,1,0.5205260089999229
1,12,Together,0.1,0.015848931924611127,1,0.4243322319999834
1,13,Together,0.1,0.012589254117941666,0,0.4086237889999893
1,14,Together,0.1,0.015848931924611127,1,0.3681450550000136
1,15,Together,0.1,0.012589254117941666,0,1.032855584999993
1,16,Together,0.1,0.015848931924611127,1,0.5124969989999499
1,17,Together_null,0.1,0.06309573444801932,1,0.77658106399997
1,18,Together,0.1,0.012589254117941666,1,0.625029144999985
1,19,Together,0.1,0.009999999999999995,1,0.40140676600003644
1,20,Together,0.1,0.00794328234724281,1,0.4437882890001674
1,21,Together,0.1,0.0063095734448019285,0,0.6115923289999046
1,22,Together,0.1,0.00794328234724281,0,0.7079153889999361
1,23,Together,0.1,0.009999999999999995,1,0.6442574010000044
1,24,Together,0.1,0.00794328234724281,0,0.8142062279998754
1,25,Together,0.1,0.009999999999999995,1,0.6032436400000734
1,26,Together,0.1,0.00794328234724281,1,0.6748445939999783
1,27,Together,0.1,0.0063095734448019285,0,0.586768439000025
1,28,Together,0.1,0.00794328234724281,1,0.38427778400000534
1,29,Together,0.1,0.0063095734448019285,0,0.4484390549998807
1,30,Together,0.1,0.00794328234724281,0,0.4622335470000962
1,31,Together,0.1,0.009999999999999995,0,0.7500412179999785
1,32,Together,0.1,0.012589254117941666,0,0.8781687279999915
1,33,Together,0.1,0.015848931924611127,1,0.6939904480000223
1,34,Together,0.1,0.012589254117941666,1,0.5981894760000159
1,35,Together,0.1,0.009999999999999995,1,0.662283996000042
1,36,Together,0.1,0.00794328234724281,0,0.6619565589999183
1,37,Together,0.1,0.009999999999999995,1,0.6380858640000042
1,38,Together,0.1,0.00794328234724281,1,0.6311204769999677
1,39,Together,0.1,0.0063095734448019285,0,0.39889003300004333
1,40,Together,0.1,0.00794328234724281,0,0.6463508950000687
1,41,Together,0.1,0.009999999999999995,0,0.5500867499999913
1,42,Together,0.1,0.012589254117941666,0,0.6071870579999086
1,43,Together,0.1,0.015848931924611127,1,0.7263333279997823
1,44,Together,0.1,0.012589254117941666,0,1.0157907220000197
1,45,Together,0.1,0.015848931924611127,1,0.6400213229999281
1,46,Together,0.1,0.012589254117941666,1,0.5049331239999901
1,47,Together,0.1,0.009999999999999995,1,0.5409799439999006
1,48,Together,0.1,0.00794328234724281,0,0.7895454219999465
1,49,Together,0.1,0.009999999999999995,0,0.5381145310000193
1,50,Together_null,0.1,0.05011872336272722,1,0.9786924779998571
1,51,Together,0.1,0.012589254117941666,0,0.6888740330000473
1,52,Together,0.1,0.015848931924611127,1,0.4010742850000497
1,53,Together,0.1,0.012589254117941666,0,0.45658202799995706
1,54,Together,0.1,0.015848931924611127,1,0.38459934800016526
1,55,Together,0.1,0.012589254117941666,0,0.49697362100005193
1,56,Together,0.1,0.015848931924611127,1,0.4565773839999565
1,57,Together_null,0.1,0.03981071705534971,1,0.760972726999853
1,58,Together,0.1,0.012589254117941666,0,0.9770671179999226
1,59,Together,0.1,0.015848931924611127,1,0.4343265939999128
1,60,Together,0.1,0.012589254117941666,0,0.516432401999964
1,61,Together,0.1,0.015848931924611127,1,0.4531755020000219
1,62,Together,0.1,0.012589254117941666,1,0.48417428199991264
1,63,Together,0.1,0.009999999999999995,1,0.7564394880000691
1,64,Together,0.1,0.00794328234724281,1,0.7976631459998771
1,65,Together,0.1,0.0063095734448019285,0,0.8158661530001154
1,66,Together,0.1,0.00794328234724281,1,0.9028353169999264
1,67,Together,0.1,0.0063095734448019285,0,0.8712953790000029
1,68,Together,0.1,0.00794328234724281,0,0.5842792620001092
1,69,Together,0.1,0.009999999999999995,0,0.7318362559999514
1,70,Together,0.1,0.012589254117941666,0,0.4362059780000891
1,71,Together,0.1,0.015848931924611127,1,0.699844290000101
1,72,Together,0.1,0.012589254117941666,0,0.5376326570001311
1,73,Together,0.1,0.015848931924611127,0,0.43313905099989825
1,74,Together,0.1,0.01995262314968879,0,0.3039015009999275
1,75,Together,0.1,0.025118864315095794,1,0.551545557000054
1,76,Together,0.1,0.01995262314968879,1,0.5117482699999982
1,77,Together,0.1,0.015848931924611127,1,0.47995313999990685
1,78,Together,0.1,0.012589254117941666,0,0.33636853300004077
1,79,Together,0.1,0.015848931924611127,1,0.3942866489999233
1,80,Together,0.1,0.012589254117941666,0,0.3939124979999633
1,81,Together,0.1,0.015848931924611127,1,0.41021900000009737
1,82,Together,0.1,0.012589254117941666,0,0.721858783000016
1,83,Together,0.1,0.015848931924611127,1,0.4336545889998433
1,84,Together,0.1,0.012589254117941666,0,0.4906261739999991
1,85,Together,0.1,0.015848931924611127,1,0.4281393650001064
1,86,Together,0.1,0.012589254117941666,0,0.5397518770000715
1,87,Together,0.1,0.015848931924611127,1,0.4210160249999717
1,88,Together,0.1,0.012589254117941666,0,0.38706985799990434
1,89,Together,0.1,0.015848931924611127,1,0.6595946539998749
1,90,Together,0.1,0.012589254117941666,0,0.4245042000000012
1,91,Together,0.1,0.015848931924611127,1,0.43199444599986236
1,92,Together,0.1,0.012589254117941666,0,0.5203429989999222
1,93,Together,0.1,0.015848931924611127,1,0.48574520400006804
1,94,Together_null,0.1,0.031622776601683784,1,0.45280756400006794
1,95,Together,0.1,0.012589254117941666,0,0.5892448229999445
1,96,Together,0.1,0.015848931924611127,1,0.4042342089999238
1,97,Together,0.1,0.012589254117941666,1,0.692263543999843
1,98,Together,0.1,0.009999999999999995,0,0.868265756000028
1,99,Together,0.1,0.012589254117941666,0,0.5491162959999656
1,100,Together,0.1,0.015848931924611127,0,0.4335899939999308
1,101,Together,0.1,0.01995262314968879,0,0.35304341699998076
1,102,Together,0.1,0.025118864315095794,1,0.3935164290001012
1,103,Together,0.1,0.01995262314968879,1,0.37698157800014087
1,104,Together,0.1,0.015848931924611127,1,0.4575819930000762
1,105,Together,0.1,0.012589254117941666,0,0.3867756959998587
1,106,Together,0.1,0.015848931924611127,1,0.45190684699991834
1,107,Together_null,0.1,0.02511886431509579,1,0.39372018800008846
1,108,Together,0.1,0.012589254117941666,0,0.3454865199998949
1,109,Together,0.1,0.015848931924611127,0,0.46552703900010783
1,110,Together,0.1,0.01995262314968879,0,0.7274356950001675
1,111,Together,0.1,0.025118864315095794,1,0.7186733450000702
1,112,Together,0.1,0.01995262314968879,1,0.6605557180000687
1,113,Together,0.1,0.015848931924611127,0,0.5721351629999845
1,114,Together,0.1,0.01995262314968879,0,0.539993880000111
1,115,Together_null,0.1,0.01995262314968879,1,0.4282786449998639
1,116,Together,0.1,0.025118864315095794,1,0.5240323369998805
1,117,Together,0.1,0.01995262314968879,1,0.39584837999996125
1,118,Together,0.1,0.015848931924611127,1,0.33979342900011034
1,119,Together,0.1,0.012589254117941666,1,0.37221741099983774
1,120,Together,0.1,0.009999999999999995,0,0.3820782309999231
1,121,Together,0.1,0.012589254117941666,0,0.4778780500000721
1,122,Together,0.1,0.015848931924611127,1,0.6296044059999986
1,123,Together,0.1,0.012589254117941666,0,0.5741906690000178
1,124,Together,0.1,0.015848931924611127,0,0.5902149250000548
1,125,Together,0.1,0.01995262314968879,1,0.5420996810000815
1,126,Together,0.1,0.015848931924611127,1,0.6622170969999388
1,127,Together,0.1,0.012589254117941666,1,0.7583598870000969
1,128,Together,0.1,0.009999999999999995,0,0.5433764320000591
1,129,Together,0.1,0.012589254117941666,0,0.6962607949999438
1,130,Together,0.1,0.015848931924611127,0,0.5892281270000694
1,131,Together,0.1,0.01995262314968879,1,0.42973835099996904
